HEFT ou TOPO, Nombre de taches, Probabilité de dépendances, Nombres de Machines, Cmax
0    ou 1   , 1      à     151,            0.25           ,         4          , moy sur 20 instances
0, 1, 0.25, 4,6.190476190476191
0, 6, 0.25, 4,15.19047619047619
0, 11, 0.25, 4,28.285714285714285
0, 16, 0.25, 4,36.523809523809526
0, 21, 0.25, 4,47.333333333333336
0, 26, 0.25, 4,61.61904761904762
0, 31, 0.25, 4,66.33333333333333
0, 36, 0.25, 4,79.9047619047619
0, 41, 0.25, 4,88.42857142857143
0, 46, 0.25, 4,99.23809523809524
0, 51, 0.25, 4,108.33333333333333
0, 56, 0.25, 4,119.71428571428571
0, 61, 0.25, 4,127.80952380952381
0, 66, 0.25, 4,144.76190476190476
0, 71, 0.25, 4,148.38095238095238
0, 76, 0.25, 4,163.8095238095238
0, 81, 0.25, 4,172.0
0, 86, 0.25, 4,182.57142857142858
0, 91, 0.25, 4,185.57142857142858
0, 96, 0.25, 4,208.33333333333334
0, 101, 0.25, 4,213.76190476190476
0, 106, 0.25, 4,217.57142857142858
0, 111, 0.25, 4,236.9047619047619
0, 116, 0.25, 4,244.8095238095238
0, 121, 0.25, 4,259.23809523809524
0, 126, 0.25, 4,259.6190476190476
0, 131, 0.25, 4,273.3809523809524
0, 136, 0.25, 4,280.6190476190476
0, 141, 0.25, 4,289.4761904761905
0, 146, 0.25, 4,304.0
1, 1, 0.25, 4,5.619047619047619
1, 6, 0.25, 4,16.952380952380953
1, 11, 0.25, 4,28.095238095238095
1, 16, 0.25, 4,40.0
1, 21, 0.25, 4,50.23809523809524
1, 26, 0.25, 4,59.857142857142854
1, 31, 0.25, 4,68.42857142857143
1, 36, 0.25, 4,81.28571428571429
1, 41, 0.25, 4,93.23809523809524
1, 46, 0.25, 4,107.19047619047619
1, 51, 0.25, 4,113.47619047619048
1, 56, 0.25, 4,123.38095238095238
1, 61, 0.25, 4,134.71428571428572
1, 66, 0.25, 4,147.0
1, 71, 0.25, 4,156.95238095238096
1, 76, 0.25, 4,162.57142857142858
1, 81, 0.25, 4,171.61904761904762
1, 86, 0.25, 4,184.52380952380952
1, 91, 0.25, 4,191.28571428571428
1, 96, 0.25, 4,213.14285714285714
1, 101, 0.25, 4,219.71428571428572
1, 106, 0.25, 4,226.23809523809524
1, 111, 0.25, 4,237.61904761904762
1, 116, 0.25, 4,260.23809523809524
1, 121, 0.25, 4,252.52380952380952
1, 126, 0.25, 4,272.57142857142856
1, 131, 0.25, 4,283.7142857142857
1, 136, 0.25, 4,295.0
1, 141, 0.25, 4,301.57142857142856
1, 146, 0.25, 4,309.8095238095238
